"No.","Scan List Name","Scan Channel Member","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 2","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","A-B'ham PS","B'ham FD t|B'ham PD Disp|B'ham PD Spec 1|B'ham PD Spec 2|B'ham PD Spec 3|B'ham PD Tac 1|B'ham PD Tac 2|B'ham PW/Park|B'ham Transit","Off","Priority Channel Select1","B'ham PD Disp","Off","Selected","2.0","3.0","3.1","3.1"
"2","A-WCSO ACS","ACS-ConniU|ACS-Usql|ACS-Utn|ACS-Vsql|ACS-Vtn","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"3","A-Whatcom Ham","Church-U|Lookout-U|Ferndale-U|Conni-V|Conni-U|Courthouse-U|Sumas-V|Blaine-V|Sumas-U|Blaine-U|King-V|King-U|Squalicum-V|Squalicum-U|Lyman-V|Lyman-U442.4|Lyman-U444.5|Cultus-U|PtRoberts-U|SuddenVal-U|NationalCall-U|446500|447000|145780|146430|146460|146480|146490|146500|NationalCall-V|146540|146550|146560|146580|147420|147440|147450|147480|147510|147540|147570|14754-T146.2|14642-T156.7|14646-T156.7|14650-T156.7|14654-T100|14656-T103.5|14658-T103.5|14658-T156.7|44582-T146.2","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"4","A-Whatcom PS","WC Fire 7|WC Fire 2|WC Fire 3|WC Fire 1|WC Fire 4|WC Fire 6|WC Fire 5|WC Fire 3.1875|WC Fire 3.5875|WCFD VehRptr|WCSO Disp|WCSO East|WCSO Rural|NRC 453.0875|NRC 453.9625|NRC 458.025|B'ham PD Disp|B'ham PD Spec 1|B'ham PD Spec 2|B'ham PD Spec 3|B'ham PD Tac 1|B'ham PD Tac 2|B'ham Transit","Off","Priority Channel Select1","WCSO Disp","Off","Selected","2.0","3.0","3.1","3.1"
"5","A-Whatcom Rptrs","Church-U|Lookout-U|Ferndale-U|Conni-V|Conni-U|Courthouse-U|Sumas-V|Blaine-V|Sumas-U|Blaine-U|King-V|King-U|Squalicum-V|Squalicum-U","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"6","A-Whatcom SAR","SAR|SAR 2|SAR 3|SAR 4|SAR 5|OSCCR","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"7","A-NW WA Rptrs","MtSicker-V|Survey-U|SumasBC-V|Vancouver-V5.21|Pemberton-V|SaltSpring-V|Chemainus-V|SumasBC-U|MtSeymour-V|MtSeymour-U|WhiteRock-V|Vancouver-V5.27|MtMcDonald-V|Sequim-V|GoldMtn-V|Lynwood-V|Everett-V5.39|Everett-V7.18|PortAngeles-V|PortTownsend-V|NorthPoint-V|WhidbeyN-V|GreenMt-V|WhidbeyS-V|NorthBend-V|Tacoma-V|GrassMtn-V|SquakMtn-V|Baldi-V|Snoqualmie-V|BawFawPeak-V|Orcas-V|MtErie-U|Anacortes-U","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"8","A-bc Rptrs","MtErie-U|MtMcDonald-V|MtSeymour-U|MtSeymour-V|MtSicker-V|Pemberton-V|SaltSpring-V|SumasBC-U|SumasBC-V|Survey-U|Vancouver-V5.21|Vancouver-V5.27|WhiteRock-V","Off","Off","Off","Off","Selected","2.0","3.0","3.1","3.1"
"16","Cougar Seattle","Cougar WASH 2|Cougar WW 2|Cougar WW Eng 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
